Time_Days	Prod_method	Encaps_rate	PLGA_conc	Hyper_wiener_index	Mean_part_size	diss_add_conc	Q_perc
0.9648152246	3	100.0	4.0	-429981997	30.0	0.0	62.999
3.9941300474	3	100.0	4.0	-429981997	30.0	0.0	70.49
7.0197179162	3	100.0	4.0	-429981997	30.0	0.0	71.942
9.0581288361	3	100.0	4.0	-429981997	30.0	0.0	74.168
11.961891895	3	100.0	4.0	-429981997	30.0	0.0	78.264
16.0363843887	3	100.0	4.0	-429981997	30.0	0.0	78.942
18.0743294394	3	100.0	4.0	-429981997	30.0	0.0	80.413
0.0	4	78.0	12.14	-429981997	78.0	0.0	0.0
1.18	4	78.0	12.14	-429981997	78.0	0.0	57.025
6.895	4	78.0	12.14	-429981997	78.0	0.0	71.488
14.12	4	78.0	12.14	-429981997	78.0	0.0	71.074
28.066	4	78.0	12.14	-429981997	78.0	0.0	75.207
46.13	4	78.0	12.14	-429981997	78.0	0.0	74.793
54.134	4	78.0	12.14	-429981997	78.0	0.0	76.446
63.421	4	78.0	12.14	-429981997	78.0	0.0	75.207
84.315	4	78.0	12.14	-429981997	78.0	0.0	71.488
0.87	2	26.0	18.0	384968407	4.3	0.0	29.308
2.029	2	26.0	18.0	384968407	4.3	0.0	32.422
3.913	2	26.0	18.0	384968407	4.3	0.0	33.045
5.942	2	26.0	18.0	384968407	4.3	0.0	33.668
7.971	2	26.0	18.0	384968407	4.3	0.0	37.093
9.855	2	26.0	18.0	384968407	4.3	0.0	37.093
12.029	2	26.0	18.0	384968407	4.3	0.0	37.405
13.913	2	26.0	18.0	384968407	4.3	0.0	37.716
15.942	2	26.0	18.0	384968407	4.3	0.0	39.896
17.971	2	26.0	18.0	384968407	4.3	0.0	40.83
19.855	2	26.0	18.0	384968407	4.3	0.0	43.945
21.884	2	26.0	18.0	384968407	4.3	0.0	49.55
23.913	2	26.0	18.0	384968407	4.3	0.0	53.91
25.797	2	26.0	18.0	384968407	4.3	0.0	59.516
27.971	2	26.0	18.0	384968407	4.3	0.0	62.318
29.855	2	26.0	18.0	384968407	4.3	0.0	65.121
31.884	2	26.0	18.0	384968407	4.3	0.0	71.038
34.058	2	26.0	18.0	384968407	4.3	0.0	71.661
35.942	2	26.0	18.0	384968407	4.3	0.0	71.349
37.826	2	26.0	18.0	384968407	4.3	0.0	71.661
40.0	2	26.0	18.0	384968407	4.3	0.0	72.284
42.029	2	26.0	18.0	384968407	4.3	0.0	73.529
43.913	2	26.0	18.0	384968407	4.3	0.0	74.152
46.957	2	26.0	18.0	384968407	4.3	0.0	77.578
48.986	2	26.0	18.0	384968407	4.3	0.0	78.512
51.014	2	26.0	18.0	384968407	4.3	0.0	79.135
53.768	2	26.0	18.0	384968407	4.3	0.0	79.446
55.797	2	26.0	18.0	384968407	4.3	0.0	79.446
57.826	2	26.0	18.0	384968407	4.3	0.0	79.446
1.085	1	59.06	20.0	-429981997	45.0	0.0	24.56
7.979	1	59.06	20.0	-429981997	45.0	0.0	28.916
14.956	1	59.06	20.0	-429981997	45.0	0.0	30.337
21.931	1	59.06	20.0	-429981997	45.0	0.0	31.308
29.014	1	59.06	20.0	-429981997	45.0	0.0	37.238
0.0	4	29.0	0.602	-550519458	2.2	0.0	0.0
1.026	4	29.0	0.602	-550519458	2.2	0.0	29.412
1.93	4	29.0	0.602	-550519458	2.2	0.0	36.029
4.029	4	29.0	0.602	-550519458	2.2	0.0	42.279
5.926	4	29.0	0.602	-550519458	2.2	0.0	45.588
7.922	4	29.0	0.602	-550519458	2.2	0.0	48.897
10.021	4	29.0	0.602	-550519458	2.2	0.0	54.044
12.017	4	29.0	0.602	-550519458	2.2	0.0	57.353
14.117	4	29.0	0.602	-550519458	2.2	0.0	64.338
16.015	4	29.0	0.602	-550519458	2.2	0.0	68.382
20.012	4	29.0	0.602	-550519458	2.2	0.0	78.309
26.196	4	29.0	0.602	-550519458	2.2	0.0	83.088
29.989	4	29.0	0.602	-550519458	2.2	0.0	88.603
0.211	1	40.3	10.0	-593140135	200.0	0.0	2.294
0.915	1	40.3	10.0	-593140135	200.0	0.0	5.046
2.113	1	40.3	10.0	-593140135	200.0	0.0	10.55
7.042	1	40.3	10.0	-593140135	200.0	0.0	11.009
14.085	1	40.3	10.0	-593140135	200.0	0.0	12.844
21.127	1	40.3	10.0	-593140135	200.0	0.0	17.431
0.9648152246	3	100.0	4.0	-429981997	31.0	0.0	62.999
3.9324023713	3	100.0	4.0	-429981997	31.0	0.0	70.491
6.9577573054	3	100.0	4.0	-429981997	31.0	0.0	71.566
8.99640116	3	100.0	4.0	-429981997	31.0	0.0	74.169
12.0233866365	3	100.0	4.0	-429981997	31.0	0.0	77.885
16.0366173233	3	100.0	4.0	-429981997	31.0	0.0	79.319
18.0745623741	3	100.0	4.0	-429981997	31.0	0.0	80.79
0.0	2	86.76	6.0	-429981997	24.5	0.0	0.0
0.017	2	86.76	6.0	-429981997	24.5	0.0	45.185
0.252	2	86.76	6.0	-429981997	24.5	0.0	68.889
1.0	2	86.76	6.0	-429981997	24.5	0.0	78.519
2.008	2	86.76	6.0	-429981997	24.5	0.0	95.556
3.0	2	86.76	6.0	-429981997	24.5	0.0	96.667
5.024	2	86.76	6.0	-429981997	24.5	0.0	97.385
6.012	2	86.76	6.0	-429981997	24.5	0.0	98.769
7.03	2	86.76	6.0	-429981997	24.5	0.0	99.231
8.017	2	86.76	6.0	-429981997	24.5	0.0	99.692
9.993	2	86.76	6.0	-429981997	24.5	0.0	99.692
11.01	2	86.76	6.0	-429981997	24.5	0.0	99.692
12.027	2	86.76	6.0	-429981997	24.5	0.0	99.692
13.015	2	86.76	6.0	-429981997	24.5	0.0	99.692
14.032	2	86.76	6.0	-429981997	24.5	0.0	99.692
18.958	2	86.76	6.0	-429981997	24.5	0.0	100.0
23.958	2	86.76	6.0	-429981997	24.5	0.0	100.0
26.979	2	86.76	6.0	-429981997	24.5	0.0	100.0
1.052	1	93.5	20.0	-70193260	16.0	0.0	9.232
7.942	1	93.5	20.0	-70193260	16.0	0.0	11.384
15.007	1	93.5	20.0	-70193260	16.0	0.0	11.504
21.987	1	93.5	20.0	-70193260	16.0	0.0	13.203
29.066	1	93.5	20.0	-70193260	16.0	0.0	16.48
0.0	1	59.0	20.0	61404185	26.2	0.02	0.0
0.974	1	59.0	20.0	61404185	26.2	0.02	63.404
3.974	1	59.0	20.0	61404185	26.2	0.02	78.723
6.949	1	59.0	20.0	61404185	26.2	0.02	75.745
0.0	4	78.0	12.14	-429981997	120.49	0.0	0.0
0.883	4	78.0	12.14	-429981997	120.49	0.0	41.564
7.382	4	78.0	12.14	-429981997	120.49	0.0	60.082
14.092	4	78.0	12.14	-429981997	120.49	0.0	60.082
28.018	4	78.0	12.14	-429981997	120.49	0.0	56.379
46.096	4	78.0	12.14	-429981997	120.49	0.0	61.728
54.102	4	78.0	12.14	-429981997	120.49	0.0	64.198
63.414	4	78.0	12.14	-429981997	120.49	0.0	72.428
84.06	4	78.0	12.14	-429981997	120.49	0.0	72.84
0.051	1	59.0	20.0	61404185	26.2	0.07	28.511
0.256	1	59.0	20.0	61404185	26.2	0.07	45.106
