Time_Days	Prod_method	Encaps_rate	Hyper_wiener_index	Mean_part_size	pI	PVA_conc_inner_phase	PVA_Mw	PLGA_Mw	S_no	PLGA_visc	PLGA_to_Placticizer	pH_0_logd	Carboaromatic_ring_count	pH_14_logd	pH_4_logd	Ring_atom_count.2	Wiener_index	diss_add_conc	pH_9_logd	Dreiding_energy	Minimal_projection_radius.1	Inner_phase_volume	Q_perc
1.085	1	59.06	-429981997	45.0	5.3	1.0	50000	34000	39	0.4	100.0	1.3	49	1.24	1.3	525	31756354	0.0	1.3	1166699.675	143.22	1.0	24.56
7.979	1	59.06	-429981997	45.0	5.3	1.0	50000	34000	39	0.4	100.0	1.3	49	1.24	1.3	525	31756354	0.0	1.3	1166699.675	143.22	1.0	28.916
14.956	1	59.06	-429981997	45.0	5.3	1.0	50000	34000	39	0.4	100.0	1.3	49	1.24	1.3	525	31756354	0.0	1.3	1166699.675	143.22	1.0	30.337
21.930999999999997	1	59.06	-429981997	45.0	5.3	1.0	50000	34000	39	0.4	100.0	1.3	49	1.24	1.3	525	31756354	0.0	1.3	1166699.675	143.22	1.0	31.308000000000003
29.014	1	59.06	-429981997	45.0	5.3	1.0	50000	34000	39	0.4	100.0	1.3	49	1.24	1.3	525	31756354	0.0	1.3	1166699.675	143.22	1.0	37.238
0.0	4	29.0	-550519458	2.2	5.0	0.0	0	31000	7	0.38	2.8	-4.73	22	-4.8	-4.73	183	2001460	0.0	-4.73	28921.96	27.43	20.0	0.0
1.026	4	29.0	-550519458	2.2	5.0	0.0	0	31000	7	0.38	2.8	-4.73	22	-4.8	-4.73	183	2001460	0.0	-4.73	28921.96	27.43	20.0	29.412
1.93	4	29.0	-550519458	2.2	5.0	0.0	0	31000	7	0.38	2.8	-4.73	22	-4.8	-4.73	183	2001460	0.0	-4.73	28921.96	27.43	20.0	36.029
4.029	4	29.0	-550519458	2.2	5.0	0.0	0	31000	7	0.38	2.8	-4.73	22	-4.8	-4.73	183	2001460	0.0	-4.73	28921.96	27.43	20.0	42.278999999999996
5.926	4	29.0	-550519458	2.2	5.0	0.0	0	31000	7	0.38	2.8	-4.73	22	-4.8	-4.73	183	2001460	0.0	-4.73	28921.96	27.43	20.0	45.588
7.922000000000001	4	29.0	-550519458	2.2	5.0	0.0	0	31000	7	0.38	2.8	-4.73	22	-4.8	-4.73	183	2001460	0.0	-4.73	28921.96	27.43	20.0	48.897
10.021	4	29.0	-550519458	2.2	5.0	0.0	0	31000	7	0.38	2.8	-4.73	22	-4.8	-4.73	183	2001460	0.0	-4.73	28921.96	27.43	20.0	54.044
12.017000000000001	4	29.0	-550519458	2.2	5.0	0.0	0	31000	7	0.38	2.8	-4.73	22	-4.8	-4.73	183	2001460	0.0	-4.73	28921.96	27.43	20.0	57.353
14.117	4	29.0	-550519458	2.2	5.0	0.0	0	31000	7	0.38	2.8	-4.73	22	-4.8	-4.73	183	2001460	0.0	-4.73	28921.96	27.43	20.0	64.33800000000001
16.015	4	29.0	-550519458	2.2	5.0	0.0	0	31000	7	0.38	2.8	-4.73	22	-4.8	-4.73	183	2001460	0.0	-4.73	28921.96	27.43	20.0	68.382
20.012	4	29.0	-550519458	2.2	5.0	0.0	0	31000	7	0.38	2.8	-4.73	22	-4.8	-4.73	183	2001460	0.0	-4.73	28921.96	27.43	20.0	78.309
26.195999999999998	4	29.0	-550519458	2.2	5.0	0.0	0	31000	7	0.38	2.8	-4.73	22	-4.8	-4.73	183	2001460	0.0	-4.73	28921.96	27.43	20.0	83.088
29.989	4	29.0	-550519458	2.2	5.0	0.0	0	31000	7	0.38	2.8	-4.73	22	-4.8	-4.73	183	2001460	0.0	-4.73	28921.96	27.43	20.0	88.603
0.0	4	71.0	-429981997	70.78	5.3	0.0	31000	46000	39	0.525	5.29	-7.55	49	-7.61	-7.55	525	11402920	0.0	-7.55	1166699.675	39.46	3.5	0.0
1.2329999999999999	4	71.0	-429981997	70.78	5.3	0.0	31000	46000	39	0.525	5.29	-7.55	49	-7.61	-7.55	525	11402920	0.0	-7.55	1166699.675	39.46	3.5	77.273
7.196000000000001	4	71.0	-429981997	70.78	5.3	0.0	31000	46000	39	0.525	5.29	-7.55	49	-7.61	-7.55	525	11402920	0.0	-7.55	1166699.675	39.46	3.5	88.01700000000001
14.185	4	71.0	-429981997	70.78	5.3	0.0	31000	46000	39	0.525	5.29	-7.55	49	-7.61	-7.55	525	11402920	0.0	-7.55	1166699.675	39.46	3.5	96.281
28.119	4	71.0	-429981997	70.78	5.3	0.0	31000	46000	39	0.525	5.29	-7.55	49	-7.61	-7.55	525	11402920	0.0	-7.55	1166699.675	39.46	3.5	95.868
46.163999999999994	4	71.0	-429981997	70.78	5.3	0.0	31000	46000	39	0.525	5.29	-7.55	49	-7.61	-7.55	525	11402920	0.0	-7.55	1166699.675	39.46	3.5	88.01700000000001
54.157	4	71.0	-429981997	70.78	5.3	0.0	31000	46000	39	0.525	5.29	-7.55	49	-7.61	-7.55	525	11402920	0.0	-7.55	1166699.675	39.46	3.5	85.537
63.198	4	71.0	-429981997	70.78	5.3	0.0	31000	46000	39	0.525	5.29	-7.55	49	-7.61	-7.55	525	11402920	0.0	-7.55	1166699.675	39.46	3.5	88.84299999999999
84.324	4	71.0	-429981997	70.78	5.3	0.0	31000	46000	39	0.525	5.29	-7.55	49	-7.61	-7.55	525	11402920	0.0	-7.55	1166699.675	39.46	3.5	75.207
0.0	4	74.0	-429981997	102.29	5.3	0.0	31000	61500	39	0.675	8.41	-7.55	49	-7.61	-7.55	525	11402920	0.0	-7.55	1166699.675	39.46	3.5	0.0
1.1	4	74.0	-429981997	102.29	5.3	0.0	31000	61500	39	0.675	8.41	-7.55	49	-7.61	-7.55	525	11402920	0.0	-7.55	1166699.675	39.46	3.5	26.236
7.1129999999999995	4	74.0	-429981997	102.29	5.3	0.0	31000	61500	39	0.675	8.41	-7.55	49	-7.61	-7.55	525	11402920	0.0	-7.55	1166699.675	39.46	3.5	56.185
14.35	4	74.0	-429981997	102.29	5.3	0.0	31000	61500	39	0.675	8.41	-7.55	49	-7.61	-7.55	525	11402920	0.0	-7.55	1166699.675	39.46	3.5	60.731
28.053	4	74.0	-429981997	102.29	5.3	0.0	31000	61500	39	0.675	8.41	-7.55	49	-7.61	-7.55	525	11402920	0.0	-7.55	1166699.675	39.46	3.5	70.637
46.107	4	74.0	-429981997	102.29	5.3	0.0	31000	61500	39	0.675	8.41	-7.55	49	-7.61	-7.55	525	11402920	0.0	-7.55	1166699.675	39.46	3.5	66.631
54.37	4	74.0	-429981997	102.29	5.3	0.0	31000	61500	39	0.675	8.41	-7.55	49	-7.61	-7.55	525	11402920	0.0	-7.55	1166699.675	39.46	3.5	68.313
63.425	4	74.0	-429981997	102.29	5.3	0.0	31000	61500	39	0.675	8.41	-7.55	49	-7.61	-7.55	525	11402920	0.0	-7.55	1166699.675	39.46	3.5	77.375
84.321	4	74.0	-429981997	102.29	5.3	0.0	31000	61500	39	0.675	8.41	-7.55	49	-7.61	-7.55	525	11402920	0.0	-7.55	1166699.675	39.46	3.5	74.204
0.0	1	51.5	-239907213	0.74	4.7	1.0	30000	46000	41	0.525	0.0	0.0	50	0.0	0.0	503	0	0.0	0.0	4215634.48	0.0	2.0	0.0
4.89	1	51.5	-239907213	0.74	4.7	1.0	30000	46000	41	0.525	0.0	0.0	50	0.0	0.0	503	0	0.0	0.0	4215634.48	0.0	2.0	2.972
9.779	1	51.5	-239907213	0.74	4.7	1.0	30000	46000	41	0.525	0.0	0.0	50	0.0	0.0	503	0	0.0	0.0	4215634.48	0.0	2.0	4.437
14.809000000000001	1	51.5	-239907213	0.74	4.7	1.0	30000	46000	41	0.525	0.0	0.0	50	0.0	0.0	503	0	0.0	0.0	4215634.48	0.0	2.0	11.424000000000001
19.988	1	51.5	-239907213	0.74	4.7	1.0	30000	46000	41	0.525	0.0	0.0	50	0.0	0.0	503	0	0.0	0.0	4215634.48	0.0	2.0	29.456
25.023000000000003	1	51.5	-239907213	0.74	4.7	1.0	30000	46000	41	0.525	0.0	0.0	50	0.0	0.0	503	0	0.0	0.0	4215634.48	0.0	2.0	39.958
30.061999999999998	1	51.5	-239907213	0.74	4.7	1.0	30000	46000	41	0.525	0.0	0.0	50	0.0	0.0	503	0	0.0	0.0	4215634.48	0.0	2.0	54.979
34.836	1	51.5	-239907213	0.74	4.7	1.0	30000	46000	41	0.525	0.0	0.0	50	0.0	0.0	503	0	0.0	0.0	4215634.48	0.0	2.0	75.02199999999999
