Time_Days	Prod_method	Encaps_rate	PLGA_conc	Hyper_wiener_index	Mean_part_size	diss_add_conc	Q_perc
0.0	1	46.91	13.33	-429981997	58.22	0.0	0.0
0.835	1	46.91	13.33	-429981997	58.22	0.0	6.844
2.005	1	46.91	13.33	-429981997	58.22	0.0	10.782
9.021	1	46.91	13.33	-429981997	58.22	0.0	12.629
16.038	1	46.91	13.33	-429981997	58.22	0.0	13.23
23.89	1	46.91	13.33	-429981997	58.22	0.0	15.074
29.905	1	46.91	13.33	-429981997	58.22	0.0	16.716
36.754	1	46.91	13.33	-429981997	58.22	0.0	17.941
44.773	1	46.91	13.33	-429981997	58.22	0.0	20.199
50.788	1	46.91	13.33	-429981997	58.22	0.0	23.916
57.804	1	46.91	13.33	-429981997	58.22	0.0	27.422
0.925	1	60.39	20.0	-70193260	48.0	0.0	1.325
8.014	1	60.39	20.0	-70193260	48.0	0.0	1.84
15.01	1	60.39	20.0	-70193260	48.0	0.0	2.357
22.007	1	60.39	20.0	-70193260	48.0	0.0	3.099
29.007	1	60.39	20.0	-70193260	48.0	0.0	4.515
0.0	1	29.7	10.0	1012936979	0.45	0.0	0.0
0.347	1	29.7	10.0	1012936979	0.45	0.0	15.052
1.215	1	29.7	10.0	1012936979	0.45	0.0	27.448
3.818	1	29.7	10.0	1012936979	0.45	0.0	30.104
6.941	1	29.7	10.0	1012936979	0.45	0.0	33.645
11.974	1	29.7	10.0	1012936979	0.45	0.0	32.76
16.833	1	29.7	10.0	1012936979	0.45	0.0	44.27
22.907	1	29.7	10.0	1012936979	0.45	0.0	57.551
28.113	1	29.7	10.0	1012936979	0.45	0.0	64.634
31.757	1	29.7	10.0	1012936979	0.45	0.0	71.718
36.79	1	29.7	10.0	1012936979	0.45	0.0	77.03
43.037	1	29.7	10.0	1012936979	0.45	0.0	83.228
47.028	1	29.7	10.0	1012936979	0.45	0.0	85.884
51.02	1	29.7	10.0	1012936979	0.45	0.0	88.54
56.052	1	29.7	10.0	1012936979	0.45	0.0	91.197
59.87	1	29.7	10.0	1012936979	0.45	0.0	96.509
64.902	1	29.7	10.0	1012936979	0.45	0.0	100.051
69.935	1	29.7	10.0	1012936979	0.45	0.0	93.853
0.0	1	92.2	0.833	140759740	0.429	0.0	0.0
1.167	1	92.2	0.833	140759740	0.429	0.0	30.82
2.361	1	92.2	0.833	140759740	0.429	0.0	31.803
3.556	1	92.2	0.833	140759740	0.429	0.0	33.115
4.722	1	92.2	0.833	140759740	0.429	0.0	38.689
5.889	1	92.2	0.833	140759740	0.429	0.0	39.672
7.056	1	92.2	0.833	140759740	0.429	0.0	42.295
8.25	1	92.2	0.833	140759740	0.429	0.0	43.607
9.417	1	92.2	0.833	140759740	0.429	0.0	43.934
0.982	1	88.35	20.0	-70193260	20.0	0.0	13.97
8.054	1	88.35	20.0	-70193260	20.0	0.0	15.668
15.029	1	88.35	20.0	-70193260	20.0	0.0	16.24
22.007	1	88.35	20.0	-70193260	20.0	0.0	17.489
28.988	1	88.35	20.0	-70193260	20.0	0.0	19.414
0.0	4	77.0	12.14	-429981997	68.0	0.0	0.0
1.136	4	77.0	12.14	-429981997	68.0	0.0	39.669
7.123	4	77.0	12.14	-429981997	68.0	0.0	59.917
14.085	4	77.0	12.14	-429981997	68.0	0.0	57.438
28.279	4	77.0	12.14	-429981997	68.0	0.0	57.851
46.073	4	77.0	12.14	-429981997	68.0	0.0	52.893
54.072	4	77.0	12.14	-429981997	68.0	0.0	52.479
63.424	4	77.0	12.14	-429981997	68.0	0.0	76.446
84.344	4	77.0	12.14	-429981997	68.0	0.0	83.058
0.0	3	99.4	2.0	63697313	5.0	0.0	0.0
0.906	3	99.4	2.0	63697313	5.0	0.0	6.986
1.803	3	99.4	2.0	63697313	5.0	0.0	8.219
3.96	3	99.4	2.0	63697313	5.0	0.0	14.384
7.92	3	99.4	2.0	63697313	5.0	0.0	28.356
10.077	3	99.4	2.0	63697313	5.0	0.0	34.521
14.02	3	99.4	2.0	63697313	5.0	0.0	37.397
17.975	3	99.4	2.0	63697313	5.0	0.0	48.082
22.458	3	99.4	2.0	63697313	5.0	0.0	53.014
26.231	3	99.4	2.0	63697313	5.0	0.0	62.466
29.819	3	99.4	2.0	63697313	5.0	0.0	67.397
34.123	3	99.4	2.0	63697313	5.0	0.0	71.918
38.252	3	99.4	2.0	63697313	5.0	0.0	79.726
42.204	3	99.4	2.0	63697313	5.0	0.0	88.767
45.969	3	99.4	2.0	63697313	5.0	0.0	92.466
49.911	3	99.4	2.0	63697313	5.0	0.0	94.521
58.154	3	99.4	2.0	63697313	5.0	0.0	99.863
