	Total	Orig column
Time_Days	1.0	301
Prod_method	0.2591072440002433	102
Encaps_rate	0.15898825479433928	94
PLGA_conc	0.15360018828994199	97
Hyper_wiener_index	0.10466625636030137	28
Mean_part_size	0.08832822183209976	95
diss_add_conc	0.07012503363511725	101
Inner_phase_volume	0.04822274526371152	93
pH_0_logd	0.04788072402509872	151
PVA_Mw	0.03355364584390437	92
PVA_conc_inner_phase	0.03303860549478647	90
PLGA_Mw	0.03300258783052278	88
bpKa1.1	0.025753768267656026	267
PLGA_visc	0.02320788470280677	87
pH_1_logd	0.021793063030823536	152
pI	0.01891779750608326	85
Dreiding_energy	0.018360233621503824	21
pH_8_logd	0.014768673880492283	159
pH_5_logd	0.014303719793712125	156
pH_11_logd	0.01372588985584197	162
PVA_conc_outer_phase	0.013554084621774702	91
diss_pH	0.01239612803101446	99
pH_4_logd	0.011831686899904522	155
C_no	0.011479770993038596	2
pH_10_logd	0.010522894576635414	161
pH_13_logd	0.010504017852020793	164
Maximal_projection_radius.1	0.009953059098913145	139
pH_12_logd	0.009191019619052901	163
Heteroaromatic_ring_count.2	0.009165670614092111	78
diss_add	0.008948948714711939	100
Block_polymer	0.008337963247928536	96
logP	0.007230428596232262	166
Fused_aromatic_ring_count	0.0066903759067240744	23
N_no	0.006565186435064741	4
PLGA_to_Placticizer	0.006406799897716123	98
pH_3_logd	0.006187717775902358	154
pH_6_logd	0.006036587954874474	157
pH_2_msacc	0.005946581038668435	173
H_no	0.0055074595769689875	3
Heteroaromatic_ring_count.1	0.0054428923116467045	60
Chiral_center_count	0.00499604852525693	18
Hyper_wiener_index.1	0.004857800100855499	137
pH_11_msacc	0.00465111551116973	182
Aliphatic_ring_count	0.004523387773512669	9
donorcount	0.004432225944472599	170
S_no	0.004236402695638807	6
bpKa1	0.0040347756376025576	167
Fused_ring_count	0.003888472737364856	24
Balaban_index	0.0035982983820437536	20
Platt_index	0.003544158417710574	38
Maximal_projection_area	0.00352099862884539	32
pH_1_msacc	0.0030290517399343257	172
Quaternary_structure	0.003004061829134156	86
Aromatic_bond_count	0.0029409042737418597	11
count	0.0028422332034370498	149
pH_7_logd	0.0027689361019251285	158
pH_12_msacc	0.00266297564863699	183
Carboaromatic_ring_count	0.002363849825295659	15
Maximal_projection_radius	0.0023237587208189566	33
pH_6_msacc	0.0022728015094537987	177
pH_13_msacc	0.0022474154667663513	184
